1 26060,7605,2973,1255,1483,3257,16637,44561,88572,130287,149008,160056,163622,149327,150670,145428,149827,106966,74205,71660,75229,67234,49916,90770
2 38728,11533,4464,2561,2130,6647,34676,76735,128565,159885,169230,157366,156548,144503,150356,165200,186825,133920,123541,132892,140423,132298,89019,149854
3 38822,12562,4235,2566,1918,5799,27724,65545,112588,132898,136405,131361,130537,119135,123286,134370,158910,116867,108543,120810,127486,117775,74337,131375
4 26676,7144,2519,1277,1325,4962,23881,56396,78094,93352,92826,90464,95262,91620,90694,94238,112126,76604,72000,84544,94833,89730,59097,108403
5 37158,8934,4057,2159,2097,7557,28297,61194,88852,104087,102134,98460,92674,87284,88631,100092,122828,80847,75650,89496,101521,96178,64875,131189
6 53121,17883,6217,3463,3148,8683,39675,86925,135590,166061,174115,160695,163607,152618,151955,165498,193588,133075,117456,129575,148185,141216,99912,191926
7 29529,8571,3161,1287,2197,4602,21571,42517,72984,90903,88874,85111,81326,74733,77132,85031,96011,68227,59687,70863,78433,77189,55584,102040
8 35311,14135,5648,2295,2901,5436,25438,65119,118475,153771,163006,151172,146610,130574,129534,135286,154239,124747,109950,110915,113227,101212,68681,105258
9 30654,8828,3243,1546,1434,6546,32421,57911,88311,99999,100845,94828,95636,94114,94369,104123,118260,74730,70037,85408,95468,90538,60944,130304
10 21165,5891,2085,1341,1859,7614,33924,64866,86277,93542,91801,87508,86898,80550,81369,89391,110962,73135,65909,75531,86606,85206,58880,108651
11 30122,9931,4015,2611,2463,4585,21580,53540,85891,107298,112614,111135,113189,103326,103931,111865,129765,93538,82369,92773,98204,88507,62516,101311
12 43425,11613,4022,1260,1395,6238,35128,78123,121041,139496,136015,131254,125532,119434,123416,134947,163816,113925,105611,123388,133644,125828,88450,171173
13 16220,4918,2539,1194,990,2368,12290,27205,46374,58314,60584,58394,55174,52135,52694,55340,64848,49731,47054,50840,54324,52422,38198,57253
14 29083,7261,2616,2053,3237,6781,24049,50786,81122,98503,100498,90334,93557,83639,87794,96227,114166,67318,65622,73778,87551,83486,56640,112135
15 19858,4893,1992,1055,974,3476,22466,55528,81263,95395,94312,92733,94336,82550,85109,91258,111042,77090,71448,78276,80054,71065,46272,86398
16 23644,5997,2285,1477,2654,12674,69177,101139,126728,135817,140403,135178,134666,129573,142336,155727,189095,90302,89267,119417,143650,116244,64996,133243
17 30540,8448,3600,2078,1568,4614,28015,66137,97971,124359,128534,121450,118496,111766,112479,125480,148357,106836,97441,107874,118437,107546,72907,110822
18 27584,7443,2179,905,1353,3190,20010,45744,68785,79109,79599,77928,74753,68602,69416,76145,90785,66931,59428,69429,76684,71990,48638,95219
19 29789,9777,3284,1923,1904,5806,30348,77789,153751,198677,213284,209566,214377,189332,183039,198736,218754,178145,154186,139903,121923,104337,67645,104518
20 34373,8120,2500,1486,2240,5650,28240,63335,96128,112170,113565,107844,106686,95938,101028,110634,130916,88027,83729,98372,104033,95383,65087,128975
21 24656,6834,2422,1381,1274,5132,18206,40378,58619,70721,68387,65494,63637,54791,59891,66366,80583,53841,50240,58146,66996,63538,44744,84343
22 19948,5201,1881,1063,1978,7115,34154,57416,72924,84041,85526,83304,80900,79687,80877,90273,109117,56334,52228,62782,72877,67917,47201,97854
23 16788,4063,1614,1115,921,1992,10988,24178,38434,45543,51027,47623,47364,44940,45158,48785,56218,38254,37440,41640,45093,41075,29562,55321
24 27983,10116,3232,1071,1161,5102,24896,49194,72834,82856,84176,79567,79746,77772,76872,83037,100799,65855,55686,64997,71454,65104,45562,96449
25 31699,9609,2710,1315,1968,8205,42461,74326,109312,124227,129391,126586,131270,124086,122120,136639,154502,86294,84769,97669,112125,104097,77478,149903
26 18323,6105,2098,1292,1272,3661,17540,34653,46804,55253,56402,51855,50553,49436,51823,53690,64250,40960,36348,42037,48414,46812,34178,64071
27 18368,5107,2277,1391,1100,2941,14581,32957,53949,64483,63451,63129,61630,57824,57625,63490,75390,54909,56192,61437,64085,59832,41506,75739
28 23191,7273,3290,1507,1629,5914,32159,58332,82486,93236,95445,91880,91487,87406,93095,106174,119615,70799,66785,75785,82112,75020,53672,114101
29 29786,8325,3300,1229,1152,5088,22858,49880,75960,84191,85920,80749,80327,71851,74627,84585,102354,64090,58596,69091,76572,75438,53995,117562
30 26635,8885,3486,1551,1742,5203,29047,53682,71244,81249,85649,86091,87894,83935,83140,98769,114391,73665,75181,85133,91927,83616,57876,112638
31 36696,9594,3267,1690,2040,6028,33900,80433,125483,159553,170512,172982,179296,163955,158048,176511,199854,149285,140340,144496,128764,115109,74223,136258
32 11388,3675,1436,677,894,2621,7678,16318,26125,33676,33486,31757,31493,30032,27443,29954,35893,27867,26413,29108,34491,33354,24506,38592
33 22730,5642,2030,1020,1717,7381,32798,57643,75708,82489,83420,82742,88152,86932,86477,96160,102195,59474,51866,59368,68133,65120,48904,109188
34 6555,1848,708,269,654,1697,10415,28378,49769,69364,81883,88531,89364,81140,78634,80220,83612,59530,42062,32542,29528,26492,19437,28598
35 12862,3843,1380,670,726,2111,9882,23335,37605,48169,52155,51903,51586,50099,48137,53276,62928,43736,43943,46501,45491,41865,26739,47997
36 17208,4631,1624,820,1330,6307,31378,51501,66025,71892,72619,70563,70028,67399,68443,77342,91868,53828,49598,57852,71722,62446,39752,81982
37 13320,4366,1930,805,853,2459,10399,25305,42633,51421,55647,52474,53879,46144,45275,52570,59312,44111,43163,44372,43993,41505,26720,49496
38 18890,4693,1655,976,935,2999,18201,43845,74596,89870,92163,85950,90956,84659,82550,89209,107640,82318,76572,79608,75190,63640,41192,74577
39 17839,4835,1628,1139,628,2050,12401,39732,66758,91441,101431,101477,106885,97334,89998,94095,109024,83064,72138,69530,66767,58206,39955,65933
40 39776,10290,3558,1659,1707,7917,41959,78457,104182,114296,117740,112419,113991,105241,111003,127162,144850,84062,82508,97863,109968,102375,82528,175992
41 14775,4178,1556,1198,2003,10270,48951,77033,93387,106976,107601,105692,102722,100445,108341,122722,154108,77024,72037,87918,116106,87623,44936,81256
42 15382,4768,1767,1001,790,3138,17129,41274,68490,84364,92080,90630,92399,82031,85298,89592,104666,81930,81425,76076,62930,54825,37664,54474
43 16384,5331,1643,1060,872,2266,11572,31408,50691,73030,83197,83192,83732,74516,70703,72776,84762,59441,48404,50135,51224,46942,32725,58583
