1 44340,21985,8606,4084,3426,5068,14851,33746,62031,86622,104888,108672,114300,105071,101523,93096,94104,69361,61836,69150,75359,67910,45359,78966
2 64491,27754,11805,6733,5029,6415,29138,64134,109349,147692,164710,172814,173082,171226,165639,171123,188566,146686,144980,151584,145572,129972,86472,131685
3 62893,27767,11802,6373,4905,7394,25900,55881,96008,128656,142614,146210,144995,134007,134920,133744,149600,118295,117839,126730,125821,112883,74434,125810
4 51366,16919,8704,4551,3322,6245,23358,48058,77354,93326,102069,106303,109473,107865,114058,119532,123088,90055,88821,97604,103870,94883,60588,111615
5 57772,24370,10694,6008,4373,5867,27209,54202,82267,104790,113222,117299,111853,112219,107936,115406,127674,94616,91011,99940,98186,90297,59388,120627
6 78351,34156,17481,8503,5156,10825,33724,71475,109538,145903,160767,175695,168456,168624,167251,166435,182779,136807,130254,146645,150016,132047,94556,170706
7 46678,20574,8887,4119,3579,5727,18842,36689,58763,81666,91769,88955,89158,87803,90845,88637,100655,71298,70092,75264,79955,72742,51110,85783
8 59863,28931,15783,9393,4870,6266,19367,39020,72813,105456,115712,115003,114454,112822,104030,106126,115757,103211,101856,111875,114162,95890,66342,96529
9 52377,22463,9418,4871,3505,6494,29962,59205,82913,98183,107701,113459,114310,112122,112794,115785,124260,85088,83948,95507,102154,94079,64740,120691
10 46233,15082,6910,4703,3420,6436,31052,61505,87378,95393,96242,104270,105935,110308,113628,127388,130157,87679,79697,90414,91694,81165,53851,100937
11 51643,25121,12430,8484,5552,6156,17716,44963,70020,92840,101014,112773,108790,107496,104449,106988,122002,90992,90425,99096,99888,87806,63123,99700
12 70290,28925,12863,5305,3877,7130,33140,60434,109466,134367,150359,162903,160577,154681,156044,156762,182119,126744,124780,139012,136258,120645,81984,159230
13 29589,13734,6522,3529,2461,2441,11863,24234,37723,46270,52052,56957,54444,53758,49335,46047,53333,47943,49203,52761,55912,47428,35698,55173
14 45765,20764,9662,4064,3236,6888,23777,45379,71779,88894,100520,101764,104793,108141,108533,114289,120356,80582,77994,86560,89847,82336,54872,110890
15 40700,17484,8686,3869,2709,5465,18518,45244,69030,89495,97606,98639,100000,95528,92748,96734,105611,75334,72877,81200,80603,66270,45770,78448
16 53147,22190,9002,5432,4942,10965,70719,111057,143543,161241,169793,170148,181266,172622,199194,208252,238026,114134,123535,145802,170426,126757,71134,131503
17 58319,24583,13933,5414,3395,4878,22416,51901,86809,113024,132791,138459,137572,133116,132092,145807,158679,120128,115914,131726,126791,107686,68334,110796
18 42692,18164,6447,3245,3167,4646,14632,36032,57081,78007,81261,87691,81540,81587,81479,84313,98416,72350,68900,74098,79396,67063,44111,82753
19 51761,20882,10651,5812,4472,6866,27791,60907,94925,130925,154941,158729,156426,148463,133843,138904,150854,112561,120048,124592,117122,96605,61324,92076
20 57658,25779,11285,6566,3497,6719,29443,57121,86830,106614,116429,119683,116034,115532,113577,118764,134011,99421,95865,107740,107062,93249,61952,120668
21 40428,15206,5328,3168,2544,4005,15010,34648,57316,71104,78443,78188,75865,79875,74369,80564,87113,60959,61741,67146,66846,57631,38601,76580
22 41409,14970,7196,2996,2969,6621,30826,61854,82495,91264,100230,100658,102767,111609,108994,119348,130374,69449,71144,78447,80418,72663,44093,97334
23 29680,12505,5198,3260,2218,2210,8143,18262,33154,49078,51302,54354,54646,54668,55217,52418,58247,42457,42647,45481,46571,41456,26627,49880
24 39512,15498,5900,3269,4020,7111,21438,44361,69884,81263,86179,90029,88761,92284,93070,91271,107537,68330,67340,73723,73563,57130,41980,87996
25 62060,30590,15556,10258,5525,8091,37860,76857,115216,130606,147489,151683,150984,157908,158265,168810,186125,111005,110290,115259,126412,107144,78250,151223
26 30527,12482,6767,2878,2284,2800,15088,31072,46636,55511,57905,65210,65127,63065,62794,63494,71076,49424,44423,50845,51615,48091,31842,58999
27 34190,14647,7085,3605,2212,3295,14108,29656,47667,59604,69584,73494,71910,69373,68878,75715,81986,60116,60780,67691,67262,59646,38033,66490
28 49664,23692,10895,6721,4091,8390,31289,56795,92791,102824,117454,120006,118085,119152,120666,128745,141097,87992,85850,93523,95803,80910,59587,112830
29 47572,20785,8502,3546,1696,5122,21689,43979,71782,85335,91958,98898,94239,95583,93353,97870,113496,77322,74344,80368,82523,71795,49728,109353
30 57931,30752,13752,7059,5052,7152,28908,51664,77328,86167,99246,106835,113022,110577,119968,124954,132719,94068,97616,107434,109703,97193,70910,113869
31 61489,27901,9911,5931,5300,7091,32326,63921,107470,144607,166448,176449,175718,166095,172186,168706,185955,139851,137513,146200,131949,105969,69535,122435
32 16537,7368,4183,2016,1704,2223,8001,14347,24095,29506,32618,33639,31999,32415,31740,32307,37584,29226,29928,32510,35181,30684,22984,32081
33 36505,14645,6631,4304,2665,6996,31081,59205,79006,88615,92308,101174,98623,108651,109923,117977,126761,72143,65942,67213,74230,63199,46918,101343
34 29418,13420,4129,1746,1438,1491,6821,16454,26190,39235,43715,45416,45503,42103,43856,39160,39138,26086,22246,23704,24503,23258,20795,26589
35 22283,11186,4445,2961,1587,2677,7315,17895,29626,42044,46984,52353,53462,51211,49544,48177,54943,36857,40154,46549,44132,36608,26341,40668
36 34608,11885,6540,3215,2153,5849,33196,58562,77588,83584,84984,89084,89690,92476,102155,104259,111684,63992,64935,71387,74007,65418,40516,74331
