1 40193,16068,6024,2550,1238,1014,2229,6482,14251,30491,42256,50381,57361,52252,45862,49987,53067,50015,57868,60020,77327,86578,106529,79587
2 46753,18263,6546,2221,1656,1511,3365,16303,45393,88083,124753,142148,154471,137012,110550,124954,129677,131467,145753,137936,156250,144343,151817,104561
3 132546,53207,20855,9112,4868,3829,7244,27314,64639,127983,187729,222636,254722,229695,203681,231184,232433,232985,269591,262788,322103,333581,384457,277720
4 77577,33376,12431,5087,2576,1829,3776,12469,27001,53921,78578,95553,108358,99650,91945,102517,103635,103113,117790,118662,150934,162330,193109,153596
5 75314,27407,9072,3445,1593,1600,4062,21278,52345,106740,152955,181826,214130,183988,152760,172942,169441,164739,177902,158319,186654,197438,224373,164790
6 56901,23086,7863,3442,2091,1649,5165,21080,55884,105597,135116,148869,163667,140692,121489,136232,134199,128019,143643,138500,157067,154256,166026,114070
7 84925,26343,8305,3234,1354,1088,4219,15242,28495,58304,75087,89069,114225,93772,84232,96898,98203,92908,109569,118788,170963,206549,255405,201326
8 105981,38693,14149,5468,2168,3059,6979,22678,47322,92360,130029,157382,185746,158946,136174,155111,160422,157793,191523,189832,233448,254846,312563,239369
9 117017,38003,12136,4077,2373,2164,8004,24646,46298,89758,110890,134267,165049,136893,118474,139372,143406,136155,162855,173857,242863,292296,356329,268603
10 23025,11811,4948,2550,1467,1466,1975,7159,20598,43064,58134,67327,74303,65783,59913,66627,66149,64266,67528,61395,64357,63350,62403,42797
11 38386,16943,6141,2974,2005,1809,3009,10159,29732,59600,80494,93453,101596,90436,80971,87776,87292,84888,88987,86577,96921,100157,101328,74167
12 62713,22673,8271,3422,2012,1742,3941,14422,29593,60337,83967,98873,110361,91266,79820,92687,90188,90000,99857,99967,131155,149077,169697,131703
13 25002,10463,4578,1604,813,571,1997,8832,23517,46780,68158,79775,89763,81296,68969,80057,81341,84215,86873,79000,86055,78317,79064,50630
14 71262,27416,10709,4606,2050,1689,4639,15451,36334,72147,103728,120038,136729,122860,104826,121013,116823,117653,130593,129095,162981,176965,208656,151790
15 94431,36440,15490,6944,3356,2184,5743,29351,66213,124221,172512,201340,234944,214378,183395,200023,199819,197316,222643,206631,241873,254874,302268,214234
16 82025,32813,12728,4909,2958,1944,5093,22887,49273,92478,130955,154311,175219,161624,136208,151752,154840,166669,181365,176691,208683,201995,229554,166075
17 62524,26783,10599,4997,2276,1685,3324,12756,29565,63063,89942,109996,124459,107463,93528,105959,109706,110135,126922,126836,146577,154678,178118,130948
18 130312,53022,21934,8640,3508,2576,5508,19891,40660,84006,122522,149042,178595,158280,142189,159992,164415,164440,189222,190848,241743,259387,317831,245945
19 105616,38485,14075,5951,2968,2572,6919,23949,44679,85344,123073,151551,173656,156612,136964,155250,157580,164615,194384,197995,240489,246947,278567,207674
